Date,Price,Open,High,Low,Vol.,Change %
2020-07-22,1872.07,1841.89,1872.41,1840.25,,1.62%
2020-07-21,1842.22,1815.53,1843.75,1815.44,,1.44%
2020-07-20,1816.09,1809.28,1820.76,1805.70,,0.34%
2020-07-17,1809.90,1797.30,1812.59,1795.11,,0.72%
2020-07-16,1797.05,1811.72,1813.41,1795.10,,-0.82%
2020-07-15,1811.90,1808.14,1815.00,1802.91,,0.23%
2020-07-14,1807.78,1802.77,1810.94,1791.02,,0.24%
2020-07-13,1803.39,1798.69,1813.65,1797.94,,0.25%
2020-07-10,1798.89,1801.71,1810.94,1794.47,,-0.24%
2020-07-09,1803.19,1810.68,1815.99,1795.76,,-0.42%
2020-07-08,1810.78,1794.93,1818.37,1791.82,,0.86%
2020-07-07,1795.26,1784.57,1797.93,1774.37,,0.64%
2020-07-06,1783.90,1776.24,1786.98,1770.09,,0.50%
2020-07-03,1775.05,1774.03,1777.01,1772.03,,-0.06%
2020-07-02,1776.13,1769.60,1780.21,1757.85,,0.33%
2020-07-01,1770.32,1780.91,1789.27,1759.02,,-0.64%
2020-06-30,1781.66,1771.77,1786.46,1765.77,,0.53%
2020-06-29,1772.28,1773.27,1775.86,1766.07,,0.05%
2020-06-26,1771.47,1762.35,1772.36,1748.04,,0.55%
2020-06-25,1761.82,1759.76,1768.84,1755.23,,-0.03%
2020-06-24,1762.43,1769.09,1780.06,1761.09,,-0.29%
2020-06-23,1767.54,1756.03,1771.69,1747.90,,0.69%
2020-06-22,1755.44,1749.00,1763.82,1743.78,,0.68%
2020-06-19,1743.62,1723.16,1745.68,1721.36,,1.20%
2020-06-18,1722.99,1725.57,1736.87,1717.28,,-0.23%
2020-06-17,1727.04,1727.34,1730.62,1713.37,,-0.02%
2020-06-16,1727.46,1725.79,1733.06,1715.93,,0.11%
2020-06-15,1725.53,1732.35,1734.78,1704.76,,-0.30%
2020-06-12,1730.80,1728.32,1743.59,1723.12,,0.19%
2020-06-11,1727.51,1737.11,1744.72,1721.34,,-0.55%
2020-06-10,1737.10,1714.33,1740.29,1708.83,,1.31%
2020-06-09,1714.57,1700.25,1720.75,1691.92,,1.13%
2020-06-08,1695.47,1684.16,1701.27,1677.61,,0.57%
2020-06-05,1685.83,1711.20,1716.39,1670.75,,-1.52%
2020-06-04,1711.84,1699.11,1722.22,1697.40,,0.78%
2020-06-03,1698.63,1728.97,1732.92,1690.01,,-1.70%
